locations	stops	length	tag_counts	tga_counts	taa_counts
128	TAA	129	0	0	1
393	TGA	198	0	1	0
1412	TAA	1023	6	0	1
2037	TAA	510	1	0	1
2647	TGA	639	8	1	0
3319	TAA	636	0	0	1
4335	TAA	987	0	0	1
4782	TAA	429	1	0	1
5394	TAA	564	6	0	1
6178	TAA	645	5	0	1
6635	TGA	450	6	1	0
7573	TGA	942	5	1	0
11742	TAA	4173	17	0	1
13588	TAA	1845	5	0	1
15551	TAA	1974	12	0	1
29539	TAA	13986	69	0	1
34227	TAA	4677	35	0	1
34316	TAA	501	0	0	1
34794	TGA	981	0	1	0
35764	TGA	663	0	1	0
36475	TGA	387	1	1	0
36806	TGA	1008	0	1	0
38078	TAA	270	6	0	1
38037	TAA	630	0	0	1
38683	TAA	741	0	0	1
39498	TAA	516	0	0	1
40028	TAA	981	0	0	1
40989	TAA	570	0	0	1
41616	TAA	1980	0	0	1
43719	TAA	228	0	0	1
43972	TAA	792	0	0	1
44780	TAA	216	0	0	1
44998	TAA	528	0	0	1
45636	TGA	111	1	1	0
45748	TGA	1200	2	1	0
47074	TGA	123	2	1	0
47524	TAA	201	2	0	1
47549	TGA	129	1	1	0
47690	TAA	138	2	0	1
48023	TAA	165	1	0	1
48209	TAA	144	1	0	1
48316	TAA	108	0	0	1
48501	TAA	183	2	0	1
48652	TGA	90	0	1	0
48912	TGA	138	0	1	0
49086	TGA	156	0	1	0
49050	TGA	426	1	1	0
49465	TAA	402	0	0	1
49938	TAA	1503	0	0	1
51513	TAA	372	0	0	1
51900	TAA	561	0	0	1
52509	TAA	393	0	0	1
52852	TAA	498	1	0	1
53346	TGA	186	0	1	0
53522	TAA	279	0	0	1
53812	TAA	225	1	0	1
54177	TAA	123	1	0	1
54378	TGA	117	1	1	0
54491	TGA	117	4	1	0
54692	TAA	201	1	0	1
54853	TGA	156	1	1	0
54946	TAA	468	0	0	1
55451	TAA	222	1	0	1
55669	TGA	108	1	1	0
55773	TGA	90	1	1	0
55927	TAA	147	0	0	1
56146	TAA	486	1	0	1
56649	TAA	264	0	0	1
56894	TAA	243	1	0	1
57268	TGA	93	1	1	0
57382	TAA	138	1	0	1
57540	TAA	465	0	0	1
58030	TAA	378	0	0	1
58427	TAA	306	0	0	1
59074	TAA	189	1	0	1
59133	TAA	258	1	0	1
59514	TAA	129	0	0	1
59650	TAA	447	0	0	1
60259	TAA	96	1	0	1
60341	TGA	231	2	1	0
60606	TAA	153	1	0	1
60974	TAA	99	0	0	1
61156	TAA	177	0	0	1
61405	TGA	138	1	1	0
61535	TAA	111	1	0	1
61748	TAA	717	0	0	1
62561	TAA	117	3	0	1
62775	TGA	699	1	1	0
63445	TGA	99	0	1	0
63554	TAA	231	0	0	1
63839	TAA	168	1	0	1
64086	TAA	144	0	0	1
64293	TAA	99	0	0	1
64518	TAA	126	1	0	1
65001	TAA	444	0	0	1
65890	TAA	888	0	0	1
66241	TGA	192	0	1	0
66552	TGA	315	0	1	0
66748	TAA	210	1	0	1
67140	TAA	360	0	0	1
67661	TAA	378	0	0	1
68031	TAA	378	0	0	1
68404	TAA	384	0	0	1
68585	TGA	198	1	1	0
68988	TGA	438	0	1	0
69358	TAA	381	0	0	1
69790	TAA	372	0	0	1
70106	TGA	315	2	1	0
70623	TAA	531	0	0	1
70821	TAA	138	0	0	1
71085	TGA	132	3	1	0
71186	TAA	105	1	0	1
71473	TAA	234	0	0	1
73538	TAA	2082	9	0	1
76060	TAA	2520	13	0	1
76527	TAA	465	0	0	1
76865	TAA	267	3	0	1
78416	TGA	1413	12	1	0
78642	TAA	234	0	0	1
79824	TAA	1161	1	0	1
81325	TAA	1470	1	0	1
82150	TAA	753	1	0	1
82860	TAA	711	4	0	1
83534	TAA	672	3	0	1
84123	TAA	588	4	0	1
85125	TAA	975	0	0	1
85924	TAA	699	2	0	1
89187	TAA	3252	12	0	1
89597	TAA	405	4	0	1
93171	TAA	3591	13	0	1
95404	TAA	2241	11	0	1
95595	TAA	192	0	0	1
96016	TAA	447	2	0	1
96829	TAA	810	9	0	1
97455	TAA	621	3	0	1
98534	TAA	1080	8	0	1
101125	NA	2493	4	0	0
