locations	stops	length	tag_counts	tga_counts	taa_counts
106	TGA	108	1	1	0
2361	TAA	2274	0	0	1
4852	TAA	2418	0	0	1
5229	TAA	372	0	0	1
7885	TAA	2643	0	0	1
12534	TAA	4641	0	0	1
14355	TAA	1737	0	0	1
15112	TGA	660	1	1	0
15447	TAA	339	0	0	1
15814	TAA	366	0	0	1
16412	TAA	597	2	0	1
17680	TAA	1167	0	0	1
19229	TAA	1515	0	0	1
20293	TAA	993	0	0	1
21014	TAA	717	0	0	1
21706	TAA	693	0	0	1
22742	TAA	1005	0	0	1
23488	TAA	675	0	0	1
24125	TAA	651	0	0	1
24462	TAA	345	0	0	1
25246	TAA	684	0	0	1
25806	TAA	561	0	0	1
26509	TAA	711	0	0	1
27203	TAA	711	0	0	1
31320	TAA	4116	0	0	1
31452	TAA	105	1	0	1
31985	TGA	546	0	1	0
34582	TAA	2601	1	0	1
43151	TGA	8577	2	1	0
43225	TAA	4056	1	0	1
47259	TAA	7263	1	0	1
54518	TGA	159	1	1	0
54663	TAA	627	0	0	1
55301	TAA	768	0	0	1
56068	TAA	243	0	0	1
56329	TAA	474	0	0	1
56822	TAA	237	0	0	1
57187	TGA	477	0	1	0
57650	TAA	306	0	0	1
57957	TAA	441	0	0	1
58397	TGA	543	0	1	0
58936	TGA	315	0	1	0
59201	TAA	168	4	0	1
59510	TGA	492	1	1	0
59998	TGA	441	0	1	0
60435	TGA	477	0	1	0
60904	TAA	465	0	0	1
61350	TAA	138	0	0	1
61558	TAA	2406	1	0	1
63960	TGA	318	0	1	0
64274	TGA	516	0	1	0
64813	TAA	468	0	0	1
65282	TAA	2577	0	0	1
67855	TGA	1044	0	1	0
68882	TAA	285	0	0	1
69132	TGA	405	0	1	0
69565	TAA	585	1	0	1
70149	TAA	666	0	0	1
70811	TGA	804	0	1	0
71614	TAA	1152	0	0	1
72768	TGA	1242	0	1	0
73942	TAA	1335	0	0	1
75339	TAA	681	0	0	1
76045	TAA	996	0	0	1
77061	TAA	921	0	0	1
78006	TAA	375	0	0	1
78386	TGA	273	0	1	0
78645	TGA	714	1	1	0
79375	TAA	1221	0	0	1
80599	TAA	606	0	0	1
81185	TGA	426	1	1	0
81607	TGA	1176	0	1	0
82736	TAA	579	1	0	1
83295	TAA	480	0	0	1
83792	TGA	132	0	1	0
83926	TAA	789	0	0	1
84714	TGA	327	0	1	0
85043	TAA	1218	0	0	1
86238	TAA	231	0	0	1
86488	TAA	174	1	0	1
86658	TGA	171	0	1	0
86850	TAA	381	0	0	1
87223	TAA	390	0	0	1
87602	TGA	150	2	1	0
88067	TAA	222	1	0	1
88190	TAA	93	0	0	1
88368	TGA	795	2	1	0
89174	TAA	231	0	0	1
89409	TAA	375	0	0	1
89785	TAA	210	0	0	1
89994	TAA	207	0	0	1
90382	TAA	111	0	0	1
90467	TAA	186	1	0	1
90787	TAA	180	0	0	1
91053	TAA	150	0	0	1
91276	TAA	261	0	0	1
91556	TAA	99	0	0	1
92052	TAA	327	1	0	1
92197	TGA	102	2	1	0
92358	TAA	159	0	0	1
92945	TAA	393	0	0	1
93273	TGA	90	0	1	0
93442	TAA	159	0	0	1
94039	TAA	507	0	0	1
94859	TAA	333	0	0	1
94929	TAA	93	0	0	1
95861	TAA	168	0	0	1
96489	TGA	477	0	1	0
97142	TAA	417	0	0	1
97463	TAA	150	0	0	1
97726	TGA	249	0	1	0
97925	TAA	234	0	0	1
98257	TAA	312	0	0	1
98644	TGA	384	0	1	0
98925	TAA	285	0	0	1
99310	TAA	411	0	0	1
99888	TAA	528	0	0	1
100097	NA	207	0	0	0
